address,min_ms,max_ms,avg_ms,latitudes,longitudes,distance_km
101.98.9.197,179.866816,265.73771,202.834879,-37.3657,175.6716,13137.317793600274
194.127.172.176,92.644781,111.850952,102.790363,52.3759,4.8975,6678.134022537599
74.49.158.20,38.423812,39.590904,38.626346,45.5004,-73.6565,1214.3324047063575
45.250.25.133,19.806992,20.405714,20.044956,39.018,-77.539,817.4084809445026
92.119.16.139,18.944635,20.486009,19.218736,33.7485,-84.3871,778.1937352226787
101.98.9.201,192.037457,192.399846,192.168367,-37.3657,175.6716,13137.317793600274
2.56.188.136,27.347392,28.762996,27.570933,32.7908,-96.8336,1226.5027537079282
157.250.201.61,41.379292,42.510152,41.604293,40.7862,-74.0743,1083.9066465595977
217.18.95.142,95.248517,114.69432,106.064026,52.3676,4.90414,6678.9719353554865
31.132.7.130,87.52603,88.291235,87.794254,51.5081,-0.1278,6416.310481654451
51.158.1.21,92.693248,94.282213,92.886767,48.8558,2.3494,6708.746527973812
115.85.65.8,206.236991,210.128898,206.443483,-6.2114,106.8446,15968.474077490257
45.147.210.189,95.690187,96.758727,95.837797,48.8558,2.3494,6708.746527973812
31.14.130.68,117.227465,120.718238,117.473276,43.4631,11.8783,7648.954878554404
77.247.126.223,57.444543,57.809616,57.571396,34.0609,-118.2414,2845.383041460388
45.88.200.26,113.539475,114.10363,113.746203,52.352,4.9392,6681.8929550716
185.125.168.212,110.32207,128.083957,120.353864,59.1728,10.2221,6607.965654661033
185.125.168.212,110.073878,128.674077,119.971125,59.1728,10.2221,6607.965654661033
86.106.182.189,111.150131,146.371578,118.754877,48.277,16.4048,7609.931329055776
194.33.45.192,22.131899,22.652741,22.267853,40.7157,-74.0,1090.4943824966083
51.158.1.19,182.640327,183.728386,182.853202,48.8558,2.3494,6708.746527973812
163.172.208.7,96.328458,96.813595,96.474298,52.3803,4.6422,6662.677765712307
51.158.1.21,92.672197,93.193684,92.862357,48.8558,2.3494,6708.746527973812
62.210.156.7,93.186572,94.032515,93.384258,48.8558,2.3494,6708.746527973812
15.235.182.181,208.563449,213.012826,209.254749,1.27994,103.849,15248.09202984305
185.84.224.68,101.442996,104.349205,101.944116,50.1169,8.6837,7032.353648569919
212.237.217.41,115.590583,116.467518,115.919805,60.1719,24.9347,7232.483363012611
195.162.68.38,124.283256,126.05299,124.521124,64.1336,-21.8934,4850.134959614261
